status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
552825254796051_1450242635054304,"Since the beginning of the UEFA EURO 2016, an international medical team has successfully operated 22 children of BigShoe 11 project of Paul Labile Pogba and me. I'm proud to see, that we have the oppurtunity to change the life of many children in need. ☺You can join us as at www.bigshoe11.com #BigShoe 11",,video,https://www.facebook.com/mesutoezil/videos/1450242635054304/,2016-06-23 08:04:17,55143,716,1542,52420,1956,55,26,682,4
552825254796051_1449831605095407,"Fun time with my Mercedes-Benz driving instructor Maximilian Götz! ☺👍😉 Thanks for the C-Coupé warm-up lap! #ViveLaMannschaft #DTM #Throwback

Hat Spaß gemacht mit meinem Mercedes-Fahrlehrer Maximilian Götz! ☺👍😉 Danke für die Aufwärmrunde in meinem C-Coupé!",Mercedes AMG DTM,video,https://www.facebook.com/mercedesamgdtm/videos/1749164221997878/,2016-06-22 14:07:36,11604,158,0,11015,490,87,10,1,1
552825254796051_1449138058498095,Deserved win! It was our goal to win the group and that's what we did! ⚽👌😎 #EURO2016 #FirstNeverFollows #ACE16 #NIRGER DFB-Team (Die Mannschaft),Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1449138058498095/?type=3,2016-06-21 13:22:26,231786,1721,1683,225709,5520,419,84,15,39
552825254796051_1448906468521254,Matchday! ⚽🔥💪 #Euro2016 #NIRGER #FirstNeverFollows #Spieltag,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1448906468521254/?type=3,2016-06-21 04:12:49,208507,1836,2009,202731,5086,505,115,13,57
552825254796051_1447715078640393,With my bro Emre Can at Sunday training session! ✌🏻️😉#JederFuerJeden #DieMannschaft  DFB-Team (Die Mannschaft),Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1447715078640393/?type=3,2016-06-19 06:40:51,266980,1787,1187,261819,4568,369,156,23,45
552825254796051_1446649105413657,Today's focus: Strength training! 💪🏋 #Euro2016 #DieMannschaft,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1446649105413657/?type=3,2016-06-17 13:19:14,165187,1865,739,161286,3039,693,145,10,14
552825254796051_1445234295555138,Rotate your smartphones to find me! 😜😎 #360degree #Euro2016 #OffToParis,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1445234295555138/?type=3,2016-06-15 05:07:09,107954,2396,2059,102446,2990,1848,628,23,19
552825254796051_1443977725680795,On our way to the #training. 🚘 Next challenge against #Poland is already waiting for us on Thursday! 😎⚽ DFB-Team (Die Mannschaft) Julian Draxler #FirstNeverFollows #ViveLaMannschaft #JederFuerJeden,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1443977725680795/?type=3,2016-06-13 10:19:12,215116,1650,1136,210482,4172,301,128,7,26
552825254796051_1443474375731130,Hard fought but successful start into the group stage against a difficult Ukraine team! ✅🔥 #GERUKR #EURO2016 #DieMannschaft #FirstNeverFollows #ViveLaMannschaft,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1443474375731130/?type=3,2016-06-12 16:06:15,200618,2153,1798,195493,4589,377,129,7,23
552825254796051_1443207662424468,,Mesut Özil's cover photo,photo,https://www.facebook.com/mesutoezil/photos/a.553075578104352.1073741840.552825254796051/1443207602424474/?type=3,2016-06-12 07:09:52,274155,1284,690,267831,5514,601,145,16,48
552825254796051_1442502525828315,À bientôt Evian! 👋 En route pour Lille! 👍😉✈ #GuessWhoTaughtMeFrench 😂 #AllezLaMannschaft #GERUKR #Euro2016,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1442502525828315/?type=3,2016-06-11 04:48:58,316005,3215,2338,308682,5878,975,411,14,45
552825254796051_1442051162540118,Let's hope for a peaceful and high-class tournament! 👍🙏 All the best to my french Arsenal teammates Olivier Giroud La Page Officielle and Laurent Koscielny - Officiel for the opening match! ⚽😉 #FRAROU #Euro2016,Timeline Photos,photo,https://www.facebook.com/mesutoezil/photos/a.552832191462024.1073741825.552825254796051/1442051162540118/?type=3,2016-06-10 12:10:17,158834,717,865,155614,2888,111,206,6,9
