status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
61087961080_10154291664661081,#StopTheViolence #DisarmHate Billboard,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154291664661081/?type=3,2016-06-23 13:11:36,5987,92,368,5453,509,17,3,3,2
61087961080_10154291435201081,#TBT Unplugged,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154291435201081/?type=3,2016-06-23 11:34:58,166915,1908,6508,142539,23651,539,160,13,13
61087961080_10154289216486081,,Ricky Martin,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.497154501080.292062.61087961080/10154289216486081/?type=3,2016-06-22 14:12:42,168325,1660,4166,146185,21078,871,147,20,24
61087961080_10154289182951081,,Ricky Martin's cover photo,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.10150739043601081.453541.61087961080/10154289181356081/?type=3,2016-06-22 13:57:41,15223,264,262,13493,1644,64,19,2,1
61087961080_10154286479821081,"""Where words fail, music speaks."" #DíaDeLaMúsica",Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154286479821081/?type=3,2016-06-21 14:46:00,103215,706,3474,91956,10857,306,82,7,7
61087961080_10154285977386081,Ci vediamo la prossima volta Milano. Grazie per tutto! #MFW,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154285977386081/?type=3,2016-06-21 10:21:50,175676,2222,5398,152134,22302,1024,167,30,19
61087961080_315342728796805,,Ricky Martin One World Tour,event,https://www.facebook.com/events/315342728796805/,2016-06-21 07:30:00,5770,79,0,5326,412,24,4,2,2
61087961080_1006399559408706,,Ricky Martin One World Tour,event,https://www.facebook.com/events/1006399559408706/,2016-06-21 07:00:00,4277,53,0,3959,296,15,3,3,1
61087961080_1742915302614419,,Ricky Martin One World Tour,event,https://www.facebook.com/events/1742915302614419/,2016-06-21 06:30:00,8823,184,0,8145,627,42,5,4,0
61087961080_208738772858573,,Ricky Martin One World Tour,event,https://www.facebook.com/events/208738772858573/,2016-06-21 06:00:00,3226,46,0,2998,216,9,1,1,1
61087961080_250889125291837,,Ricky Martin One World Tour,event,https://www.facebook.com/events/250889125291837/,2016-06-21 05:30:00,3846,38,0,3591,245,7,3,0,0
61087961080_295033444218097,,Ricky Martin One World Tour,event,https://www.facebook.com/events/295033444218097/,2016-06-21 05:00:01,4262,57,1,3978,266,13,3,2,0
61087961080_1790904777797133,,Ricky Martin One World Tour,event,https://www.facebook.com/events/1790904777797133/,2016-06-21 04:26:56,4030,54,0,3746,265,11,6,1,1
61087961080_630394313776388,,Ricky Martin One World Tour,event,https://www.facebook.com/events/630394313776388/,2016-06-21 03:50:00,18385,240,0,17107,1137,117,14,8,2
61087961080_10154281514646081,Muchas felicidades a todos los padres que llevan con honra este maravilloso rol que la vida nos ha dado. Les recomiendo esta tierna historia del amor de una escritora por su padre. ¡Feliz día a todos los papás! #PiccoloUniverse #PapásyMamás,Univision Papás y Mamás,link,http://www.univision.com/estilo-de-vida/papas-y-mamas/cinco-lecciones-de-vida-que-aprendi-de-mi-papa,2016-06-19 12:56:20,18561,641,0,16830,1713,4,11,2,1
61087961080_10154278463941081,,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154278463941081/?type=3,2016-06-18 11:01:00,410732,9147,18844,352997,53332,3838,411,71,83
61087961080_10154273282421081,What's up gang?,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154273282421081/?type=3,2016-06-16 12:07:15,227726,3818,8330,196630,29849,926,285,17,19
61087961080_10154269128971081,,Ricky Martin Foundation,video,https://www.facebook.com/RickyMartinFoundation/videos/10155068049533747/,2016-06-14 16:06:14,34946,509,0,29368,4115,59,21,1354,29
61087961080_10154268546991081,#Perdóname,gph.is,link,http://gph.is/1tnzS4V,2016-06-14 11:27:57,52211,481,3483,44414,7478,203,54,59,3
61087961080_10154265760361081,,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154265760361081/?type=3,2016-06-13 09:23:00,222868,1632,15675,196599,16777,648,129,8259,456
61087961080_10154263609981081,Cuanto Me Acuerdo de Ti #AQQE,,status,,2016-06-12 11:48:03,38248,472,2416,34018,4060,124,29,10,7
61087961080_10154260971206081,Pensive / Pienso,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154260971206081/?type=3,2016-06-11 10:40:01,232383,2673,10007,203449,27647,1015,200,53,19
61087961080_10154258273046081,"Today's plan for #instudio mode, abruptly postponed. 😎",Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154258273046081/?type=3,2016-06-10 08:38:28,75433,745,1380,68062,6894,351,105,15,6
61087961080_10154255821716081,Throwback ¿Quién recuerda este momento?,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154255821716081/?type=3,2016-06-09 12:06:08,138434,2886,4523,120289,16353,1583,177,20,12
61087961080_10154253876771081,No podemos olvidarnos de los niños de Siria.,Ricky Martin Foundation,video,https://www.facebook.com/RickyMartinFoundation/videos/10155048467328747/,2016-06-08 16:10:47,52050,776,1,44339,5317,64,19,2290,21
61087961080_10154251655386081,"""The applause and the energy of the public are my addiction—they are my vice.""",Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154251655386081/?type=3,2016-06-08 10:44:00,161958,1631,6381,142453,18854,477,161,3,11
61087961080_10154251184336081,Inspiradora historia de una joven cuya misión es aportar a la educación de otros niños. Te invito a ser parte de mi comunidad para padres #PiccoloUniverse y únete a Univision Papás y Mamás para que puedas leer sobre este artículo y muchos más.,Univision Papás y Mamás,link,http://www.univision.com/estilo-de-vida/papas-y-mamas/yo-se-que-estoy-aqui-para-cambiar-el-mundo-de-una-manera-positiva,2016-06-07 15:05:04,3666,71,0,3368,278,15,1,1,3
61087961080_10154248935506081,"Vote for a brilliant candidate who has dedicated herself to American citizens, families, children and a bright future. Vote Hillary Clinton",Commit to Vote,link,https://hrc.io/lookup,2016-06-06 16:49:30,7884,464,586,6707,817,26,23,39,272
61087961080_10154248228796081,Empecemos la semana sonriendo!,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154248228796081/?type=3,2016-06-06 11:16:55,429070,7336,24078,372804,53677,657,1868,19,46
61087961080_10154246027486081,Mi gente! Feliz Domingo,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154246027486081/?type=3,2016-06-05 11:37:48,395389,5620,11243,350104,42974,1706,557,29,19
61087961080_10154243590686081,¡Un poco de música para este fin de semana!  #AQQE,,status,,2016-06-04 10:49:40,20400,355,1896,17808,2514,53,22,1,2
61087961080_10154241168761081,"I have new Syrian friends in Lebanon. I truly admire their perseverance and spirit in spite of the hardships they are facing. More than a million Syrians have sought refuge in Lebanon since the start of the crisis and more than half of them are children.  They shouldn't be forgotten. Proud to be a UNICEF Goodwill Ambassador to help raise awareness for the #ChildrenofSyria.
 UNICEF Lebanon is working in the more than 2000 informal settlements across Lebanon to give every child a chance to be what they want in life. UNICEF provides a package of services for these children such as education services, protection services, health care and clean water. Every child has a right to these services. Every child has a right to enjoy childhood. 
P.s. The song on the video is performed by the kids living in the camps.",,video,https://www.facebook.com/RickyMartinOfficialPage/videos/10154241168761081/,2016-06-03 10:01:04,25710,1198,4006,20594,4974,88,29,24,1
61087961080_10154237849036081,#TBT Almas Del Silencio http://smarturl.it/RMADS,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154237849036081/?type=3,2016-06-02 10:02:00,139467,1610,5444,123319,15347,593,172,21,15
61087961080_10154236352391081,"#DíaInternacionalDeLaInfancia únete a Ricky Martin Foundation
y luchemos juntos contra la trata infantil. #RMF #CentroTau",Ricky Martin,link,http://rickymartinfoundation.org/es/our-work/,2016-06-01 10:27:55,8406,113,553,7763,533,9,4,88,9
61087961080_10154234121766081,"Me estoy volviendo loco
Loco, loco, loco, loco por tu amor 🎶🎶",Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154234121766081/?type=3,2016-05-31 12:28:48,163447,2652,8349,141901,20327,920,263,25,11
61087961080_10154229617176081,🇵🇷 in 🇬🇧. ✈️lagged,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154229617176081/?type=3,2016-05-29 16:10:31,343055,6014,12621,297792,42270,2480,380,46,54
61087961080_10154228953741081,#SexySouls I can't wait!!! Nos vemos en Hard Rock el próximo 27 de Agosto. http://bit.ly/1Xoaojb,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154228953741081/?type=3,2016-05-29 11:04:39,89426,621,2120,80602,8532,195,77,9,4
61087961080_10154226422726081,Un poco de música para el Sábado!!🎶 Cuál es tu favorita de #AQQE? smarturl.it/AQQErm,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154226422726081/?type=3,2016-05-28 10:55:00,304002,6536,15423,265192,36921,1518,298,35,29
61087961080_10154224252976081,"""Me calientas cuando siento frío"" 🎙",giphy.com,link,http://giphy.com/gifs/w61FOZArcukbm,2016-05-27 12:07:30,66865,795,4132,58052,8205,481,110,10,7
61087961080_10154221633421081,A #oneworldtour dressing room moment. #argentina #rosario #makeup #showtime #tbt,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154221633421081/?type=3,2016-05-26 08:49:26,179033,4590,9848,146634,24918,7218,196,49,18
61087961080_10154220296281081,Dé • ja • me Morderte  🎶 🎶,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154220296281081/?type=3,2016-05-25 16:29:49,413336,11071,36849,349100,57715,5312,1055,71,83
61087961080_10154217783391081,Recuerdos del M.A.S. Tour video directed by Carlos Pérez Elastic People,,video,https://www.facebook.com/RickyMartinOfficialPage/videos/10154217783391081/,2016-05-24 13:51:58,58795,860,4782,50036,7812,872,62,8,5
61087961080_10154215092581081,Me atacaste con un beso a sangre fría... 🎶,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154215092581081/?type=3,2016-05-23 12:00:32,203094,3104,11048,176316,25419,1005,204,125,25
61087961080_10154210166846081,¿Quién quiere otra mordidita? Happy weekend / Feliz fin de semana,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154210166846081/?type=3,2016-05-21 11:12:48,374138,9683,16704,327992,42754,2318,988,40,46
61087961080_10154208610116081,"I'll see you in Miami, August 27th... can't wait!!!! http://bit.ly/1Xoaojb",Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154208610116081/?type=3,2016-05-20 18:03:00,12949,305,415,11519,1352,57,14,7,0
61087961080_10154205358641081,"""Her lips are devil red"" 👄 #TBT",gph.is,link,http://gph.is/1U00Mpk,2016-05-19 09:38:00,72576,1283,4212,60985,11053,408,114,10,6
61087961080_10154203483711081,Hoy adelantamos un paso más dile NO a la trata! #YoQuieroUnMundoLibreDeTrata,Ricky Martin Foundation,link,http://www.elnuevodia.com/noticias/tribunales/nota/federalesarrestanaimputadodetraficosexualdemenores-2200175/,2016-05-18 15:51:48,7869,137,0,7167,302,21,1,47,331
61087961080_10154203215511081,¡Mi gente! Hoy es un buen día para volver a ver el video #Perdóname http://smarturl.it/PerdonameVideo,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154203215511081/?type=3,2016-05-18 13:35:27,50240,494,1171,45260,4803,120,29,24,4
61087961080_10154200367631081,"En el 2002, mi vida cambió para siempre. Hoy en Univision Papás y Mamás les cuento cómo entré en conocimiento sobre la trata humana y cómo este peligro sigue muy latente hoy, en específico con las niñas refugiadas en Siria. #PiccoloUniverse",Univision Papás y Mamás,link,http://www.univision.com/estilo-de-vida/papas-y-mamas/la-trata-humana-no-tiene-espacio-en-este-mundo,2016-05-17 10:06:23,10983,259,0,8500,124,26,6,1602,725
61087961080_10154198963106081,#✌🏼️,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154198963106081/?type=3,2016-05-16 16:45:25,211344,4041,3662,185697,24494,823,193,109,28
61087961080_10154179556211081,Felicidades a todas esas mamás y abuelas maravillosas que llenan de amor y alegría la vida de los niños. Aprovecho para desearle un feliz día a todos los papás solteros que hacen el difícil rol de ser mamá y papá para sus hijos. #PiccoloUniverse #PapásyMamás,Univision Papás y Mamás,link,http://www.univision.com/estilo-de-vida/papas-y-mamas/papas-que-tambien-hacen-de-mama-papas-solteros,2016-05-08 09:58:45,54664,1014,0,47499,5429,39,40,11,4
61087961080_10154164134426081,Gracias a todos los Guerrer@s por luchar por un mundo libre de trata. Ricky Martin Foundation #RappellingDesafio #rmf,Photos from Ricky Martin's post,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.10152063351756081.1073741838.61087961080/10154164130476081/?type=3,2016-05-01 19:05:41,36559,318,546,34903,1602,17,36,1,0
61087961080_10154163534196081,"Gracias a todos los participantes y auspiciadores que se han unido a #RappellingDesafio para apoyar los esfuerzos de Ricky Martin Foundation.
¡Juntos por un mundo libre de trata!",Ricky Martin Foundation,photo,https://www.facebook.com/RickyMartinFoundation/photos/a.10152182917063747.1073741827.144997358746/10154946158778747/?type=3,2016-05-01 13:54:17,9649,118,0,9173,453,14,7,1,1
61087961080_10154158300826081,¡Feliz viernes gang! Les dejo la versión urbana de #Perdóname ft. Farruko,Perdóname (Urban Version)[Cover Audio] - Ricky Martin ft. Farruko,video,http://smarturl.it/PerdonameUrbanCA,2016-04-29 11:51:42,41030,590,3734,37302,3528,41,32,119,7
61087961080_10154153722241081,Apoya a los valientes inscritos en #RappellingDesafio. Tu aportación ayudará a Ricky Martin Foundation en su lucha contra la trata humana.,Ricky Martin Foundation,video,https://www.facebook.com/RickyMartinFoundation/videos/10154904721288747/,2016-04-27 10:59:14,4680,87,1,4362,282,32,3,0,0
61087961080_10154151489836081,"Lo que está pasando a nuestros niños en #Nepal, como en otras partes del mundo, es escalofriante. Por este motivo fundé Ricky Martin Foundation y  en Univision Papás y Mamás te contamos cómo puedes ayudar. #PiccoloUniverse",Univision Papás y Mamás,link,http://www.univision.com/estilo-de-vida/papas-y-mamas/ninos-en-peligro-que-podemos-hacer-desde-aqui,2016-04-26 10:43:03,6979,134,0,6430,296,9,1,237,6
61087961080_10154142747006081,Como padre le hablo a mis hijos sobre la importancia de nuestro planeta. Me encanta ver como hacen contacto con la naturaleza y disfrutan al aire libre momentos simples de la vida. Te invito a ser parte de mi comunidad de padres #PiccoloUniverse únete a Univision Papás y Mamás donde puedes leer sobre este artículo y muchos más.,Univision Papás y Mamás,link,http://www.univision.com/estilo-de-vida/papas-y-mamas/beneficios-para-los-ninos-de-estar-en-contacto-con-la-naturaleza,2016-04-22 13:06:54,13573,205,0,12618,921,22,8,3,1
61087961080_10154133810516081,Mi compatriota Gutiérrez no lo pudo haber dicho mejor. #EstoyConElla porque Hillary Clinton está con nuestra comunidad.,Hillary Clinton,video,https://www.facebook.com/hillaryclinton/videos/1100057780050750/,2016-04-18 14:37:56,8059,284,0,7467,475,60,5,17,35
61087961080_10154129279616081,¡Familia! Disfruten la nueva versión del sencillo #Perdoname ft. Farruko,Perdóname (feat. Farruko) [Urban Version] - Single by Ricky Martin on iTunes,link,https://itunes.apple.com/us/album/perdoname-feat.-farruko-urban/id1098472774?i=1098472776,2016-04-16 13:09:29,60676,628,2902,55266,5097,218,60,21,14
61087961080_10154118144041081,"It's #AutismAwarenessMonth and I wanted to share this heart-warming article about Kate, a little girl with #autism. It's a must read. I invite you to join Univision Papás y Mamás and be a part of my parenting community #PiccoloUniverse",Univision Papás y Mamás,link,http://www.univision.com/papas-y-mamas-en/kids/when-it-becomes-too-much-a-little-girl-and-her-service-dog,2016-04-11 19:19:03,9670,201,0,8814,805,34,5,12,0
61087961080_10154080742941081,"¡Mi gente! Recuerdos del #OneWorldTour. República Dominicana, Puerto Rico, Argentina, Chile y Uruguay ¡Agradecido por tanto cariño!",Thank you! #OneWorldTour,video,https://www.facebook.com/RickyMartinOfficialPage/videos/10154080742941081/,2016-03-29 11:59:00,34961,1302,3690,30372,4414,123,39,12,0
61087961080_10154071688286081,This leg of the Southamerican leg is officially over. Gracias #Argentina #CHILE #Uruguay. Hasta la vista.,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154071688286081/?type=3,2016-03-27 00:49:56,179202,3028,6397,164032,13879,197,150,927,17
61087961080_10154069480966081,Argentina finalizamos esta etapa del #OneWorldTour anoche en #MarDelPlata ¡Gracias por tanta energía!,"MAR DEL PLATA, ARGENTINA 3/25/2016",video,https://www.facebook.com/RickyMartinOfficialPage/videos/10154069480966081/,2016-03-26 11:37:06,29443,725,1851,26404,2651,27,41,318,2
61087961080_10154066657771081,#oneworldtour #MarDelPlata #Argentina #music,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154066657771081/?type=3,2016-03-25 16:20:49,114662,1146,2284,106210,8080,275,63,26,8
61087961080_10154066292536081,"Otra noche mágica del #OneWorldTour mi #BuenosAires querido, Gracias!!! Nos volveremos a ver!!","BUENOS AIRES, ARGENTINA 3/24/2016",video,https://www.facebook.com/RickyMartinOfficialPage/videos/10154066292536081/,2016-03-25 14:22:41,29214,664,2500,26200,2852,92,34,34,2
61087961080_10154058991191081,#tbt #throwback de este momento feliz Ricky Martin Foundation! #TAUCenter abrió sus puertas en 2015 y hoy en día trabaja con 120 participantes desde infantes a jóvenes quienes reciben una formación integral gracias al poder de las alianzas.,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154058991191081/?type=3,2016-03-24 15:00:00,61838,554,1503,57857,3848,86,40,4,2
61087961080_10154061419141081,A #oneworldtour moment.,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154061419141081/?type=3,2016-03-24 10:03:40,194593,2818,6504,178272,15434,681,161,17,28
61087961080_10154056716521081,Happy birthday Yayoi Kusama! #longliveKusama.,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154056716521081/?type=3,2016-03-23 03:17:23,5576,166,121,5334,159,63,14,1,5
61087961080_10154056226966081,Hold tight.,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154056226966081/?type=3,2016-03-23 00:04:51,273796,3577,4755,252905,20194,181,495,9,12
61087961080_10154055266391081,#trip,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154055266391081/?type=3,2016-03-22 18:31:12,94724,1440,1786,87301,7061,239,100,13,10
61087961080_10154054203751081,"I'm praying for #Brussels but also praying for #Turkey, #Syria, #Palestine, #Israel, for all of #Europe and #USA. I'm praying for everyone living in #terror. Especially all of the strong men, women and children having to migrate in desperate need of a better life. #oneWorldunitedforPEACE",Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154054203751081/?type=3,2016-03-22 11:50:39,124084,1502,24076,112680,4244,60,17,6899,184
61087961080_10154050958231081,Hoy es un día importante. Feliz Día a todas las mamás y papás solteros. #NationalSingleParentDay #PiccoloUniverse,Univision Papás y Mamás,photo,https://www.facebook.com/UnivisionPapasyMamas/photos/a.215977565242850.1073741829.189970854510188/524300874410516/?type=3,2016-03-21 14:41:15,75124,1441,5,67874,7048,139,48,13,2
61087961080_10154044606981081,Gracias #Chaco #Argentina por esta noche inolvidable del #OneWorldTour. Esta noche los veo en #Tucumán.,"Chaco, Argentina. 17 de Marzo de 2016",video,https://www.facebook.com/RickyMartinOfficialPage/videos/10154044606981081/,2016-03-19 13:50:44,26624,481,1458,24290,2189,100,35,7,3
61087961080_10154042442376081,@ #teatrocolon #BuenosAires,Timeline Photos,photo,https://www.facebook.com/RickyMartinOfficialPage/photos/a.141773006080.138775.61087961080/10154042442376081/?type=3,2016-03-18 17:36:54,18539,370,262,17084,1270,159,22,3,1
